Day of Year	Last Updated	Year of Period End	Period Begin	Period End	Median Sale Price Yoy (tooltip)	Median Sale Price Yoy	Median Sale Price
213	8/24/2022 2:27:17 PM	2021	7/5/2021	8/1/2021	17.35%	0.173465114	350,250
215	8/24/2022 2:27:17 PM	2020	7/6/2020	8/2/2020	8.54%	0.085363636	298,475
216	8/24/2022 2:27:17 PM	2019	7/8/2019	8/4/2019	3.44%	0.034394559	275,000
219	8/24/2022 2:27:17 PM	2022	7/11/2022	8/7/2022	7.61%	0.076097359	376,903.1
220	8/24/2022 2:27:17 PM	2021	7/12/2021	8/8/2021	16.66%	0.166625031	350,250
222	8/24/2022 2:27:17 PM	2020	7/13/2020	8/9/2020	9.37%	0.093715847	300,225
223	8/24/2022 2:27:17 PM	2019	7/15/2019	8/11/2019	3.63%	0.036337895	274,500
226	8/24/2022 2:27:17 PM	2022	7/18/2022	8/14/2022	6.43%	0.064285714	372,500
227	8/24/2022 2:27:17 PM	2021	7/19/2021	8/15/2021	16.09%	0.160862355	350,000
229	8/24/2022 2:27:17 PM	2020	7/20/2020	8/16/2020	10.04%	0.100364964	301,500
230	8/24/2022 2:27:17 PM	2019	7/22/2019	8/18/2019	3.54%	0.035427492	274,000
233	8/24/2022 2:27:17 PM	2022	7/25/2022	8/21/2022	6.04%	0.060357143	371,125
234	8/24/2022 2:27:17 PM	2021	7/26/2021	8/22/2021	15.51%	0.155115512	350,000
236	8/24/2022 2:27:17 PM	2020	7/27/2020	8/23/2020	10.59%	0.105940323	303,000
237	8/24/2022 2:27:17 PM	2019	7/29/2019	8/25/2019	3.88%	0.038767773	273,975
241	8/24/2022 2:27:17 PM	2021	8/2/2021	8/29/2021	14.79%	0.147904684	349,250
243	8/24/2022 2:27:17 PM	2020	8/3/2020	8/30/2020	11.56%	0.115592630	304,250
244	8/24/2022 2:27:17 PM	2019	8/5/2019	9/1/2019	3.90%	0.038952381	272,725
248	8/24/2022 2:27:17 PM	2021	8/9/2021	9/5/2021	14.28%	0.142828525	348,562.7
250	8/24/2022 2:27:17 PM	2020	8/10/2020	9/6/2020	11.94%	0.119368749	305,000
251	8/24/2022 2:27:17 PM	2019	8/12/2019	9/8/2019	4.20%	0.041969407	272,475
255	8/24/2022 2:27:17 PM	2021	8/16/2021	9/12/2021	14.27%	0.142746557	348,537.7
257	8/24/2022 2:27:17 PM	2020	8/17/2020	9/13/2020	12.26%	0.122602967	305,000
258	8/24/2022 2:27:17 PM	2019	8/19/2019	9/15/2019	4.65%	0.046470871	271,690
262	8/24/2022 2:27:17 PM	2021	8/23/2021	9/19/2021	13.40%	0.134000653	347,287.7
264	8/24/2022 2:27:17 PM	2020	8/24/2020	9/20/2020	13.44%	0.134406312	306,250
265	8/24/2022 2:27:17 PM	2019	8/26/2019	9/22/2019	4.59%	0.045869249	269,965
269	8/24/2022 2:27:17 PM	2021	8/30/2021	9/26/2021	13.16%	0.131551673	346,537.7
271	8/24/2022 2:27:17 PM	2020	8/31/2020	9/27/2020	13.55%	0.135457798	306,250
272	8/24/2022 2:27:17 PM	2019	9/2/2019	9/29/2019	5.00%	0.049985401	269,715
276	8/24/2022 2:27:17 PM	2021	9/6/2021	10/3/2021	12.82%	0.128156318	346,696.2
278	8/24/2022 2:27:17 PM	2020	9/7/2020	10/4/2020	14.15%	0.141512174	307,312.2
279	8/24/2022 2:27:17 PM	2019	9/9/2019	10/6/2019	5.16%	0.051621094	269,215
283	8/24/2022 2:27:17 PM	2021	9/13/2021	10/10/2021	12.42%	0.124170144	345,471.2
285	8/24/2022 2:27:17 PM	2020	9/14/2020	10/11/2020	14.14%	0.141363788	307,312.2
286	8/24/2022 2:27:17 PM	2019	9/16/2019	10/13/2019	5.43%	0.054331865	269,250
290	8/24/2022 2:27:17 PM	2021	9/20/2021	10/17/2021	12.82%	0.128237668	346,721.2
292	8/24/2022 2:27:17 PM	2020	9/21/2020	10/18/2020	13.92%	0.139248193	307,312.2
293	8/24/2022 2:27:17 PM	2019	9/23/2019	10/20/2019	5.11%	0.051144666	269,750
297	8/24/2022 2:27:17 PM	2021	9/27/2021	10/24/2021	12.81%	0.128123276	348,096.2
299	8/24/2022 2:27:17 PM	2020	9/28/2020	10/25/2020	14.39%	0.143892714	308,562.2
300	8/24/2022 2:27:17 PM	2019	9/30/2019	10/27/2019	5.11%	0.051134925	269,747.5
304	8/24/2022 2:27:17 PM	2021	10/4/2021	10/31/2021	12.87%	0.128744939	348,500
306	8/24/2022 2:27:17 PM	2020	10/5/2020	11/1/2020	14.46%	0.144588921	308,750
307	8/24/2022 2:27:17 PM	2019	10/7/2019	11/3/2019	4.96%	0.049601167	269,747.5
311	8/24/2022 2:27:17 PM	2021	10/11/2021	11/7/2021	12.90%	0.129032258	350,000
313	8/24/2022 2:27:17 PM	2020	10/12/2020	11/8/2020	14.93%	0.149329403	310,000
314	8/24/2022 2:27:17 PM	2019	10/14/2019	11/10/2019	4.65%	0.046450048	269,722.5
318	8/24/2022 2:27:17 PM	2021	10/18/2021	11/14/2021	12.90%	0.129032258	350,000
320	8/24/2022 2:27:17 PM	2020	10/19/2020	11/15/2020	14.93%	0.149329403	310,000
321	8/24/2022 2:27:17 PM	2019	10/21/2019	11/17/2019	4.65%	0.046450048	269,722.5
325	8/24/2022 2:27:17 PM	2021	10/25/2021	11/21/2021	12.84%	0.128421900	350,375
327	8/24/2022 2:27:17 PM	2020	10/26/2020	11/22/2020	14.70%	0.147026228	310,500
328	8/24/2022 2:27:17 PM	2019	10/28/2019	11/24/2019	5.02%	0.050242483	270,700
332	8/24/2022 2:27:17 PM	2021	11/1/2021	11/28/2021	13.54%	0.135363880	350,500
334	8/24/2022 2:27:17 PM	2020	11/2/2020	11/29/2020	14.62%	0.146209131	308,711.6
335	8/24/2022 2:27:17 PM	2019	11/4/2019	12/1/2019	4.80%	0.047987160	269,332.7
339	8/24/2022 2:27:17 PM	2021	11/8/2021	12/5/2021	13.57%	0.135690074	350,600.7
341	8/24/2022 2:27:17 PM	2020	11/9/2020	12/6/2020	14.08%	0.140808632	308,711.6
342	8/24/2022 2:27:17 PM	2019	11/11/2019	12/8/2019	5.50%	0.055000780	270,607.7
346	8/24/2022 2:27:17 PM	2021	11/15/2021	12/12/2021	13.71%	0.137071305	350,600.7
348	8/24/2022 2:27:17 PM	2020	11/16/2020	12/13/2020	13.52%	0.135233608	308,336.6
349	8/24/2022 2:27:17 PM	2019	11/18/2019	12/15/2019	6.15%	0.061480410	271,606.3
353	8/24/2022 2:27:17 PM	2021	11/22/2021	12/19/2021	14.22%	0.142166656	351,600.7
355	8/24/2022 2:27:17 PM	2020	11/23/2020	12/20/2020	13.12%	0.131206149	307,836.6
356	8/24/2022 2:27:17 PM	2019	11/25/2019	12/22/2019	6.35%	0.063532193	272,131.3
360	8/24/2022 2:27:17 PM	2021	11/29/2021	12/26/2021	13.69%	0.136946483	351,600.7
362	8/24/2022 2:27:17 PM	2020	11/30/2020	12/27/2020	13.21%	0.132090115	309,250
363	8/24/2022 2:27:17 PM	2019	12/2/2019	12/29/2019	6.76%	0.067581045	273,167.3
